GeneName,1447539084,1447550599,1447563135,1447567650,1447576097,1447576100,1447591405,1447593793,1447597990,1447625597,1447692887
Blank median_yellow,38.39174915657218,40.15272520583835,35.13901708343265,36.92283377463061,42.5742076873617,42.214748404500654,51.74641038836619,47.12361423607188,49.31781360853621,53.552693284742965,55.70083693659073
Blank median_yellow std,8.742204603649814,8.413770574423863,10.861124290607298,10.752862548275612,8.323750140797662,8.211097259829376,14.955256548893743,10.438436400093074,12.614125467601339,16.89135897542615,15.877106932245493
SO_0308 median_yellow,48.65768161303201,29.807037720993723,22.74890492731579,25.441854054749836,32.16336820749851,33.08635480359486,36.224509230322425,35.410109292590356,35.30152263422608,36.224509230322425,40.068476936417795
SO_0308 median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ftsE median_yellow,45.856145827233696,29.69845106262945,21.825918331219448,24.041086161850675,32.16336820749851,31.79417356905997,36.224509230322425,34.37853603812974,35.19293597586181,35.30152263422608,38.77629570188291
ftsE median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ktrA median_yellow,50.05844950593117,42.8265780588704,38.90659969192004,46.9202950792036,58.65851284838182,58.28931820994328,75.01166359804176,73.6434717026519,75.19626091726103,70.13612263748578,79.37684726428566
ktrA median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arcA median_yellow,51.93699869563314,50.05844950593117,49.7544068625112,57.507494269720496,70.16869863499507,69.69091733819225,86.22866540707146,86.70644670387428,89.29080917294404,91.79916098115882,100.00831235349807
arcA median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pgpB median_yellow,57.06228897042696,52.89256128923877,48.527377622994884,48.049596326192066,51.632956052213174,50.60138279775255,61.26459264912444,55.802683733401366,57.094864967936246,60.71080069146664,62.89339252458858
pgpB median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO_3906 median_yellow,56.58450767362415,43.81471664998531,36.75658385630738,36.647997197943106,41.63212481686337,40.231356923964206,47.90843367031851,45.80185249805156,45.693265839687285,46.7248390941479,51.49179339633962
SO_3906 median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pssA median_yellow,50.42764414436971,35.410109292590356,28.35197649891243,30.567144329543655,40.643986225748456,40.53539956738418,46.9202950792036,39.72099962965211,38.580839716827214,41.01318086418699,44.379367273479545
pssA median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bfd median_yellow,47.25691372013286,30.284819017796536,23.335272882482883,25.441854054749836,35.51869595095464,35.410109292590356,41.79500480440978,35.88789058939317,35.7793039310289,37.73386378158586,41.46924482931695
bfd median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO_2827 median_yellow,45.856145827233696,28.88405112489738,20.902931735123104,23.11809956575433,29.948200376867284,28.916627122406663,35.30152263422608,34.37853603812974,34.269949379765464,34.37853603812974,39.14549034032145
SO_2827 median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO_4690 median_yellow,37.48411446734803,26.08251533909906,19.132969203785407,20.42515043832029,27.62444588787178,27.25525124943324,31.207805613892884,30.76260031459935,30.654013656235076,31.685586910695697,36.452541212887404
SO_4690 median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO_3618 median_yellow,39.330087659540716,26.08251533909906,19.132969203785407,20.05595579988175,25.96307001489836,25.854483356534082,30.284819017796536,29.47041908006447,30.284819017796536,31.685586910695697,36.08334657444887
SO_3618 median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheA median_yellow,39.330087659540716,27.005501935195408,19.132969203785407,20.87035573761382,27.146664591068966,27.146664591068966,33.42297344452411,31.207805613892884,32.49998684842777,32.60857350679204,37.00633317054521
cheA median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO_0050 median_yellow,40.36166091400134,29.437843082555187,22.379710288877256,24.594878119508483,31.424978930621435,31.316392272257158,39.10205567697574,34.932327995787546,36.224509230322425,36.224509230322425,40.6222688940756
SO_0050 median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hprT median_yellow,46.44251378240079,45.1503325478659,44.73770324608166,51.56780405719461,63.30602182637283,62.82824052957001,64.41360574168844,74.85964227633178,77.074810106963,70.42930661506932,72.28613847309845
hprT median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yfiH median_yellow,51.56780405719461,54.26075318462865,59.97241141458956,65.77093897124189,78.54072999488073,78.43214333651646,91.01733704093603,92.67871291390945,95.26307538297921,96.4792459566591,97.9343071787404
yfiH median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO_1845 median_yellow,44.455377934334535,30.393405676160814,23.335272882482883,24.627454117017766,30.53456833203437,30.53456833203437,37.73386378158586,33.67272275876194,34.48712269649401,35.88789058939317,40.39423691151062
SO_1845 median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
