GeneName,0.0,1408.0,2797.0,4637.0,6629.0,7363.0,8567.0,9925.0,10852.0,11952.0,12989.0,13882.0,14868.0,15944.0,17347.0,76375.0,81708.0,83638.0,86393.0,162630.0,164217.0
fccA mean_green,143.71184143655768,146.7738438082331,147.5358292393698,151.1207860409961,151.47111638150093,153.27934948331358,153.5612400474335,154.84872098932746,155.86803320345587,157.886837201423,159.37879044553617,159.87938336439097,160.56208707436897,162.02270032187025,163.20379468067085,208.48788751482297,210.13535490428595,212.87938336439097,213.03371167203116,213.02778248348298,213.70794511265458
fccA mean_green std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fccA mean_red,238.19837370828392,235.6411993901406,235.60748771810944,236.3860748771811,234.12756225647976,234.79298661697442,234.1148568524479,235.3603252583432,235.53565983398272,236.19464678976792,235.36760968998814,235.55886837201422,235.59613755717433,234.14839911909198,234.09215653057768,223.38116212095545,222.5248178892089,223.73386413687956,222.05149923767576,222.02964594274098,222.09418939522277
fccA mean_red std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fccA mean_blue,1.4072505505675081,1.1135016093511774,1.064543452481789,0.8700660681009657,0.9120786040996104,1.0028798915805524,0.9335930882602067,0.9256310350669151,0.8712519058106047,0.7287819752668134,0.627816364560393,0.627816364560393,0.6120616635609012,0.5053362696933762,0.5605624258851432,159.77096391665256,170.6020667457225,176.81602574961883,181.39471455192276,188.1385736066407,187.85075385397255
fccA mean_blue std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fccA median_green,144.0,147.0,147.0,151.0,151.0,153.0,154.0,155.0,156.0,158.0,159.0,160.0,161.0,162.0,163.0,209.0,210.0,213.0,213.0,213.0,214.0
fccA median_green std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fccA median_red,238.0,236.0,236.0,236.0,234.0,235.0,234.0,235.0,235.0,236.0,235.0,235.0,236.0,234.0,234.0,223.0,223.0,224.0,222.0,222.0,222.0
fccA median_red std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fccA median_blue,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,171.0,177.0,182.0,188.0,187.0
fccA median_blue std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fccA mean_yellow,276.97413252646845,276.3924590173821,276.1599864420119,274.9313954529962,275.00852270036023,274.1848681551704,274.2183823060892,273.6151588613306,273.26998646872596,272.58459550142254,272.2167694632521,272.0111851004062,271.7696289926118,271.4860895999817,271.0051700880481,108.50053036272963,97.98831906189969,91.10855130557523,87.00818811216612,80.78825859959197,80.79579141961575
fccA mean_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fccA median_yellow,277.265173467342,276.37476286875494,276.37476286875494,274.89798431500077,275.11515763172935,274.268181696488,274.00757371641373,273.5297924196109,274.0835843772687,273.2366084420274,272.9760004619531,272.60680582351455,272.12902452671176,271.9770032050018,271.6078085665632,108.14145306498233,97.619405869484,90.86531571922605,86.46755605547287,80.9296364788948,81.4834284365526
fccA median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ldhA mean_green,141.3757980697847,144.4665181885672,156.59881217520416,163.2432071269488,169.37386785449146,172.6460282108389,172.61544172234596,174.27379361544172,177.8926503340757,178.84721603563474,181.98440979955456,219.1216035634744,217.07334818114327
ldhA mean_green std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ldhA mean_red,229.11507052709726,226.63103192279138,224.30200445434298,224.7417965850037,226.31655530809206,227.09472902746845,226.54313288789905,226.3691165553081,228.16778025241277,227.6709725315516,229.74743875278398,221.24484038604305,219.95664439495175
ldhA mean_red std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ldhA mean_blue,1.1051224944320712,1.1110616184112843,0.7863400148478099,0.5385300668151448,0.4580549368968077,0.5833704528582034,0.5792130660727542,1.0957683741648108,3.9637713437268003,6.495768374164811,11.78619153674833,213.05463994060875,208.07305122494432
ldhA mean_blue std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ldhA median_green,141.0,145.0,158.0,163.0,169.0,173.0,173.0,174.0,178.0,179.0,182.0,219.0,217.0
ldhA median_green std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ldhA median_red,229.0,227.0,224.0,225.0,226.0,227.0,227.0,226.0,228.0,228.0,230.0,221.0,220.0
ldhA median_red std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ldhA median_blue,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,11.0,213.0,208.0
ldhA median_blue std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ldhA mean_yellow,279.10177289811327,278.2249473208088,274.2983844265717,272.0262791372896,269.6661517453587,268.2579238603549,268.3329494217553,267.2628170207255,263.0843153440686,260.4488421748235,254.18214086252937,55.62647668842305,61.12050210354651
ldhA mean_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ldhA median_yellow,279.3500373079361,278.0904320709105,274.53964834239866,272.5850884918417,270.2613340028462,268.6759687907278,268.6759687907278,268.4153608106535,263.0294625557854,260.8142947251542,254.8746045126283,55.74839040421923,61.2102993199423
ldhA median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QWT SO_0298 mean_green,154.46844840386044,172.6935412026726,201.50170749814401,210.9606533036377,216.1842613214551,218.73021529324424,219.5517446176689,221.63192279138826,223.7077951002227,223.49636228656274,226.03756495916852,218.40504825538233,207.6792873051225
QWT SO_0298 mean_green std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QWT SO_0298 mean_red,230.25553080920565,229.8724573125464,227.33541202672606,225.98930957683743,225.89547141796584,225.57401633259093,225.11477357089828,225.21484780994803,225.81633259094284,225.3064587973274,226.4482553823311,225.11076466221232,225.69309576837418
QWT SO_0298 mean_red std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QWT SO_0298 mean_blue,0.7737193763919822,0.8252412769116555,97.9939123979213,156.686859688196,179.59643652561246,191.5698589458055,197.90170749814402,206.60029695619897,213.75129918337046,218.25612472160356,222.30215293244245,193.1334818114328,144.72442464736451
QWT SO_0298 mean_blue std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QWT SO_0298 median_green,154.0,173.0,201.0,211.0,216.0,219.0,220.0,222.0,224.0,224.0,226.0,219.0,208.0
QWT SO_0298 median_green std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QWT SO_0298 median_red,230.0,230.0,227.0,226.0,226.0,225.0,225.0,225.0,226.0,225.0,227.0,225.0,226.0
